"tipo_elem";distrito;id;id_cruce;"localizaci";num;"fecha_inst";utm_x;utm_y;longitud;latitud
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11323;4826;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448152.137345504;4482224.817506489;-3.61178991002832;40.48910221644265
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11322;4826;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448177.239916387;4482211.518131186;-3.61149263545207;40.48898397619893
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11321;4826;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448180.498263336;4482209.024498317;-3.61145398615377;40.48896171565296
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11326;4826;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448141.996571837;4482232.398150411;-3.61191018204655;40.48916987340834
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11319;4826;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448174.247556944;4482213.413292168;-3.61152809743547;40.48900086198906
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11320;4826;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448167.065894281;4482221.392917349;-3.61161348688667;40.48907229824025
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11325;4826;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448136.543827963;4482235.191019225;-3.61197474798804;40.48919469237374
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";17;6167;783;"AVENIDA DE ANDALUCIA";45;"2024-08-10 00:00:00";441143.471626701;4466945.757799864;-3.69307075474036;40.35099368910269
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";17;6165;783;"AVENIDA DE ANDALUCIA";45;"2020-12-14 00:00:00";441162.14061166;4466945.420104224;-3.69285090039889;40.35099196399369
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";17;9769;783;"AVENIDA DE ANDALUCIA";45;"2024-08-10 00:00:00";441155.503695771;4466945.489238765;-3.69292905500207;40.35099211862742
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";17;6168;783;"AVENIDA DE ANDALUCIA";45;"2024-08-10 00:00:00";441142.708487735;4466939.261812077;-3.69307914143628;40.35093511553649
