distrito;id;"descripcion";"fecha_inst";utm_x;utm_y;longitud;latitud
8;1824;"CNO. DE SANTIAGO - VILORIA DE LA RIOJA - AGES";"02/08/2004";442966.405819436;4483989.009209926;-3.6731350489047;40.50465467596455
8;1825;"CNO. DE SANTIAGO - SAN JUAN DE ORTEGA";"02/08/2004";442928.126861562;4483836.937842425;-3.6735730998698;40.50328212516175
8;1834;"CASTIELLO DE JACA - PUENTE DE LA REINA";"02/08/2004";442737.887066323;4483707.724978019;-3.67580651578564;40.50210501757731
8;2155;"STO. DOMINGO DE LA CALZADA - RABANAL CAMINO - P.P.";"15/04/2013";442971.491412468;4484459.270448058;-3.67311738258227;40.50889132146495
8;1802;"FORESTA - QUINTANAPALLA";"01/07/2004";443494.828788487;4483334.996079925;-3.6668404306035;40.49879921646258
8;1804;"PUERTO SOMPORT - FORESTA";"01/04/2004";443112.797484193;4482999.752249622;-3.67131854089095;40.49575310223515
8;1829;"STO. DOMINGO DE LA CALZADA-CASTIELLO DE JACA-FROMISTA";"02/08/2004";442564.030160278;4484365.934012595;-3.67791793322804;40.50802239957677
8;2256;"VALCARLOS - SAN JUAN ORTEGA";"29/11/2016";443250.775757173;4483544.032936547;-3.66973914018513;40.50066565114406
8;1529;"M-603 - CUARTEL DE ARTILLERIA";"27/02/1992";442476.426291331;4484956.41667865;-3.67900550608658;40.5133356167153
8;2147;"SIERRA DE ATAPUERCA - SAN JUAN DE ORTEGA";"26/11/2012";443099.764030338;4483677.776587154;-3.67153323871986;40.50186012581101
8;2146;"SIERRA DE ATAPUERCA - SAN MILLAN DE LA COGOLLA";"11/02/2013";443293.678699957;4483888.330891725;-3.66926366949234;40.50377015885088
8;4526;"STO. DOMINGO DE LA CALZADA - CAPISCOL P.P.";"11/05/2018";442749.365928934;4484428.375298357;-3.67573620186686;40.50859770583792
8;4803;"CTRA. FUENCARRAL A HORTALEZA - AVDA.BURGOS";"14-10-2024";442915.307915684;4482207.4061122;-3.67357755981118;40.48860176252278
8;2192;"MARIA TUBAU - P.P.";"25/08/2014";442588.893796139;4484824.212457169;-3.67766604342518;40.51215246468935
8;1831;"STO. DOMINGO DE LA CALZADA - VALCARLOS";"02/08/2004";443648.101962027;4483976.773510136;-3.66508880633351;40.50459103408809
8;1830;"STO. DOMINGO DE LA CALZADA - SIERRA DE ATAPUERCA";"02/08/2004";443497.64989272;4484113.076105332;-3.66687655221811;40.5058086700862
8;2003;"PALAS DEL REY - FURELOS";"07/05/2007";443628.819926195;4484106.025835943;-3.66532787194653;40.50575408152585
8;2002;"PALAS DEL REY - SIERRA DE ATAPUERCA";"07/05/2007";443555.620401752;4484178.001909519;-3.66619817864399;40.50639749396733
8;2004;"PALAS DEL REY - MIRALLOS";"07/05/2007";443407.623143452;4484310.932603322;-3.66795671926276;40.50758490392589
8;2000;"PALAS DEL REY - TOQUES - P.P.";"07/05/2007";443340.354334138;4484367.808261232;-3.66875572742028;40.5080926705767
8;2202;"FROMISTA - PALAS DEL REY";"19/01/2015";443004.279782347;4484677.77263377;-3.67275007132876;40.5108619265968
8;2171;"VALCARLOS - TIERRA MELIDE";"11/07/2013";443826.967348763;4484175.186509194;-3.66299549625277;40.50639054914048
